country,genre,song name,artist,rating,album_url,track_id
peru,math rock,satisfuckcion,procrastinacion 1 yo 0,7.0,https://cdn-images.dzcdn.net/images/cover/20fd8f46546437857d021139a0cc168a/250x250-000000-80-0-0.jpg,140772211
peru,math rock,dos,procrastinacion 1 yo 0,7.0,https://cdn-images.dzcdn.net/images/cover/20fd8f46546437857d021139a0cc168a/250x250-000000-80-0-0.jpg,140772201
philippines,indie rock,the chase,as silent as the forest,8.3,https://cdn-images.dzcdn.net/images/cover/717b16efdcbe859567fe39ab8e423b45/250x250-000000-80-0-0.jpg,2747080911
poland,alt rock,to nie byw film,myslovitz,7.5,https://cdn-images.dzcdn.net/images/cover/7317097ccab3e4f4c4c2385292d805f5/250x250-000000-80-0-0.jpg,950273242
poland,indie rock,serio,tiul,8.0,,
portugal,indie rock,o vento,los hermanos,8.0,https://cdn-images.dzcdn.net/images/cover/23d3be92940f73ffa1e889d919a0fb19/250x250-000000-80-0-0.jpg,13309062
portugal,dark wave rock,pale,aenima,8.0,https://cdn-images.dzcdn.net/images/cover/45ce4c0886fbe8ff3a2bddd7d4f9b507/250x250-000000-80-0-0.jpg,678489722
romania,indie rock,stem cell research,cardinal,7.5,https://cdn-images.dzcdn.net/images/cover/1cf950a241b348e1443d9eae5d33c69d/250x250-000000-80-0-0.jpg,1816308247
romania,indie rock,black holes,vertical ego,7.5,https://cdn-images.dzcdn.net/images/cover/2ca1a53781d9825e5fa53cf4b90d7a2e/250x250-000000-80-0-0.jpg,2193782277
russia,alt rock,untitled,franco,8.3,https://cdn-images.dzcdn.net/images/cover/f725df49b6ae9470bde8398688f9a6ce/250x250-000000-80-0-0.jpg,2766063
russia,math rock,Погребок ,franco,8.3,https://cdn-images.dzcdn.net/images/cover/e125ac1e773f4c73d9680f7c7b79a637/250x250-000000-80-0-0.jpg,3055312421
saudi arabia,alt rock,mouj al bahar,seera,7.0,https://cdn-images.dzcdn.net/images/cover/dfb03eb3e0aa52c046376bfe13e625b4/250x250-000000-80-0-0.jpg,3108613121
united kingdom,shoegaze,bliss,dallas love field,8.8,https://cdn-images.dzcdn.net/images/cover/a69a22becc918d0aac356f7fc9969e24/250x250-000000-80-0-0.jpg,3237548101
republic of serbia,indie rock,svet se menja,proto tip,6.0,https://cdn-images.dzcdn.net/images/cover/4707452cd5ded41525eea6a9af55276b/250x250-000000-80-0-0.jpg,2143455427
slovakia,indie rock,smazka,pipesh,7.7,https://cdn-images.dzcdn.net/images/cover/b68e5ead1afaed86b3f986689f6790aa/250x250-000000-80-0-0.jpg,2869015032
slovenia,indie rock,umazane misli,joker out,7.5,https://cdn-images.dzcdn.net/images/cover/d89a4829bddb94aa9ce752988c548c4d/250x250-000000-80-0-0.jpg,2483700801
slovenia,indie rock,omni,before time,7.0,https://cdn-images.dzcdn.net/images/cover/8cb2ee24a4d4f2d5780b5ea3f54b83b8/250x250-000000-80-0-0.jpg,2056584027
spain,alt rock,truce,belako,8.9,https://cdn-images.dzcdn.net/images/cover/62eb766bf077e5d6c1a33c80fd74642a/250x250-000000-80-0-0.jpg,1060903112
spain,alt rock,saguzarren kanta,belako,8.9,https://cdn-images.dzcdn.net/images/cover/28dcc309b124836974da98bbe2a2311d/250x250-000000-80-0-0.jpg,2393892985
singapore,indie rock,jazz ruined my life,forests,9.5,https://cdn-images.dzcdn.net/images/cover/fab46b37dee0cf62b9fb1cf7d95af39d/250x250-000000-80-0-0.jpg,1733965587
singapore,indie rock,fool of hell,forests,8.0,https://cdn-images.dzcdn.net/images/cover/fab46b37dee0cf62b9fb1cf7d95af39d/250x250-000000-80-0-0.jpg,1733965537
singapore,indie rock,come clean,blush,8.5,https://cdn-images.dzcdn.net/images/cover/3e57d8c6f55990e5efdc89f410f7f851/250x250-000000-80-0-0.jpg,1558225822
singapore,midwest emo  ,fruitcake ,subsonic eye,9.0,https://cdn-images.dzcdn.net/images/cover/6d7e3c5b11df110dc26b09b9d76dd162/250x250-000000-80-0-0.jpg,1487375842
singapore,alternative,best friend,blush,8.8,https://cdn-images.dzcdn.net/images/cover/be31aa93186cee5d675630deb9f941b0/250x250-000000-80-0-0.jpg,476324962
singapore,midwest emo,stranded,subsonic eye,8.6,https://cdn-images.dzcdn.net/images/cover/b1633617c858055a9de0495a85fe8c0e/250x250-000000-80-0-0.jpg,1486577392
singapore,midwest emo,cabin fever,subsonic eye,8.8,https://cdn-images.dzcdn.net/images/cover/6d7e3c5b11df110dc26b09b9d76dd162/250x250-000000-80-0-0.jpg,1487375832
singapore,midwest emo,dijangka,subsonic eye,9.0,https://cdn-images.dzcdn.net/images/cover/799b6ceb2df7f738d2ed2d2a20e3e945/250x250-000000-80-0-0.jpg,1493444492
singapore,midwest emo,matahari,subsonic eye,8.0,https://cdn-images.dzcdn.net/images/cover/799b6ceb2df7f738d2ed2d2a20e3e945/250x250-000000-80-0-0.jpg,1493444502
south africa,pop rock (?) ,cokehead,internet girl,9.5,https://cdn-images.dzcdn.net/images/cover/43aa779f0b6b2cfe47fe74e6adb21d03/250x250-000000-80-0-0.jpg,3234563431
south korea,alternative,go back,se so neon,9.0,https://cdn-images.dzcdn.net/images/cover/fd96d7095ae6f197bdf97449dfa2cbf3/250x250-000000-80-0-0.jpg,768026432
south korea,indie rock,there there,crystal tea,8.5,https://cdn-images.dzcdn.net/images/cover/36f5ba348cc822b74c0dee063368bb82/250x250-000000-80-0-0.jpg,876461932
south korea,shoegaze,beautiful world,parannoul,9.8,https://cdn-images.dzcdn.net/images/cover/a47abbc73a5db7a2b3df94c5fc721c7b/250x250-000000-80-0-0.jpg,1345601152
sri lanka,funk,sticky like glue,the soul,8.0,https://cdn-images.dzcdn.net/images/cover/4d2124097ebbbd051d2bd31fe7c32ccd/250x250-000000-80-0-0.jpg,920032372
sweden,alt rock,om du var har,kent,10.0,https://cdn-images.dzcdn.net/images/cover/7270ae0d1e849f082a91091d37f96264/250x250-000000-80-0-0.jpg,132195400
sweden,alt rock,waterproof,minute,8.5,https://cdn-images.dzcdn.net/images/cover/c43cbae29f63cd7259788bea10671a19/250x250-000000-80-0-0.jpg,1053567882
sweden,alt rock,i wanna be your secret,minute,8.5,https://cdn-images.dzcdn.net/images/cover/681719f9842536ea2146365f38e73a6d/250x250-000000-80-0-0.jpg,1530400802
sweden,noise rock,tärd,trachimbod,10.0,https://cdn-images.dzcdn.net/images/cover/9c1a94f2861a274bc7a294fb668288cf/250x250-000000-80-0-0.jpg,349653951
sweden,alt rock,things she said,kent,10.0,https://cdn-images.dzcdn.net/images/cover/6ecf74293cd11f7bab8af2728a0d1a27/250x250-000000-80-0-0.jpg,2324046
sweden,alt rock,if you were here,kent,10.0,https://cdn-images.dzcdn.net/images/cover/6ecf74293cd11f7bab8af2728a0d1a27/250x250-000000-80-0-0.jpg,2324092
sweden,alternative,owc,kent,9.6,https://cdn-images.dzcdn.net/images/cover/6ecf74293cd11f7bab8af2728a0d1a27/250x250-000000-80-0-0.jpg,7861127
switzerland,alt rock,new in colors,favez,9.0,,
switzerland,alt rock,headed for the ocean,favez,8.8,https://cdn-images.dzcdn.net/images/cover/b30aaa30d1da34782b500ed18cf66b55/250x250-000000-80-0-0.jpg,9932525
switzerland,alt rock,chasing honesty,favez,7.0,https://cdn-images.dzcdn.net/images/cover/c53fa385da7204ee23833a2b46929a6c/250x250-000000-80-0-0.jpg,1925986887
taiwan,alt rock,爛泥,no party for cao dong,8.5,,
thailand,pop/indie rock(?),get up,kiki,7.0,https://cdn-images.dzcdn.net/images/cover/b8501252a321f23f9cfe1a5c120e70cf/250x250-000000-80-0-0.jpg,2157466407
thailand,indie rock,let me go,yonlapa,8.0,https://cdn-images.dzcdn.net/images/cover/2a3a0e5e88a6f15cb9be106472ffa85b/250x250-000000-80-0-0.jpg,2812778442
thailand,indie rock,i'm just like that,yonlapa,7.8,https://cdn-images.dzcdn.net/images/cover/19a94fdd9b175161db1dbe98b33d143b/250x250-000000-80-0-0.jpg,2700000602
tunisia,shoegaze,sleep cycle,retrieval,7.0,https://cdn-images.dzcdn.net/images/cover/cf0fb2b1da52e9e442fd993ee256f4d4/250x250-000000-80-0-0.jpg,479139422
tunisia,shoegaze,away,retrieval,7.0,https://cdn-images.dzcdn.net/images/cover/cf0fb2b1da52e9e442fd993ee256f4d4/250x250-000000-80-0-0.jpg,479139412
tunisia,shoegaze,faded dreamscape,glasswing butterfly,8.0,https://cdn-images.dzcdn.net/images/cover/19b9e395736e8fb4eb6ee3f9fce13b23/250x250-000000-80-0-0.jpg,2690450052
turkey,alt rock,bir kadın Çizeceksin,maNga,10.0,https://cdn-images.dzcdn.net/images/cover/4e1d47cf51bb4636b07bd7c55245f58d/250x250-000000-80-0-0.jpg,74585223
turkey,alt rock,kapkaç,maNga,8.8,https://cdn-images.dzcdn.net/images/cover/4e1d47cf51bb4636b07bd7c55245f58d/250x250-000000-80-0-0.jpg,74585221
turkey,alt rock,dünyanın sonuna doğmuşum,maNga,7.7,https://cdn-images.dzcdn.net/images/cover/1067edb74738c04ffbccb45caec65eb7/250x250-000000-80-0-0.jpg,4765136
turkey,alt rock,cambaz,mor ve ötesi,8.7,https://cdn-images.dzcdn.net/images/cover/ce3df29b1b2fc81961722e5ef07f3d6c/250x250-000000-80-0-0.jpg,77595995
ukraine,indie rock,Я кусаю щоки,the unsleeping,8.0,https://cdn-images.dzcdn.net/images/cover/5913adc272c95159d363b333155a634b/250x250-000000-80-0-0.jpg,3061726251
ukraine,indie rock,Не Сплю,the unsleeping,7.8,https://cdn-images.dzcdn.net/images/cover/b0984fdde1e36cf2e393edc9b161db10/250x250-000000-80-0-0.jpg,2145613617
united kingdom,rock,goleuadau llundain,daniel lloyd a mr pinc,8.0,https://cdn-images.dzcdn.net/images/cover/b6fc92c279cfa578fb931edb3396be0a/250x250-000000-80-0-0.jpg,9892328
United States of America,alt rock,dumb,pretty sick,8.5,https://cdn-images.dzcdn.net/images/cover/a0546757db979e28c46205c4cbd040ef/250x250-000000-80-0-0.jpg,1064057742
uruguay,rock,upside down,astroboy,7.5,https://cdn-images.dzcdn.net/images/cover/45eeeb0df673952ac5605271f71c6cea/250x250-000000-80-0-0.jpg,1428680
uruguay,rock,al vacio,no te va gustar,8.0,https://cdn-images.dzcdn.net/images/cover/0d14f6b96136cafd05bbcbf39553bc76/250x250-000000-80-0-0.jpg,11683775
uzbekistan,indie rock,Нам не нужны друзья,wladek sheen,7.0,https://cdn-images.dzcdn.net/images/cover/03f5ae7a4095d8b87f10be5cf61b1c77/250x250-000000-80-0-0.jpg,3086185431
venezuela,sifri rock,retroceder,los mesoneros,6.5,https://cdn-images.dzcdn.net/images/cover/c534ad964b9be6cbf5de82f80ba3df97/250x250-000000-80-0-0.jpg,67562442
vietnam,indie rock,hay la,"tora drums, hoanghieu, drumc",8.5,,
vietnam,indie rock,nho em,do it dad,9.0,https://cdn-images.dzcdn.net/images/cover/b6fdcc5de21bfdb9cd06bf9aac53589b/250x250-000000-80-0-0.jpg,2933064041
yemen,indie rock,soomood,soomood,9.0,,
zimbabwe,rock,place called home,evicted,7.0,,
